Max-Temp,Min-Temp,RH(%)1,RH(%)2,Rain(mm),Incd.(%),Sevrt.(%)
19.5,10.1,75.0,59.0,3.0,0.0,0.0
24.6,8.9,67.0,42.0,9.0,0.0,0.0
22.05,9.5,71.0,50.5,20.0,3.0,1.0
29.20785061,16.25097811,80.12607099,51.80201907,7.870917942999999,4.0,3.0
28.24134763,15.64379887,71.21364374,45.50936629,14.68783263,4.0,3.0
24.27845636,9.64805684,62.08959350000001,40.71317683,14.78901671,3.0,2.0
31.25,17.25,47.6,29.53,33.2,4.0,3.0
30.83333333,16.33333333,35.2,18.73,44.56666667,4.0,3.0
29.73333333,14.66666667,26.53333333,16.64,40.3,5.0,3.0
26.83333333,17.4,28.86666667,20.51666667,56.8,5.0,3.0
28.0,15.2,7.6,1.215,70.0,5.0,3.0
12.5,3.0,94.0,67.0,1.2,0.0,0.0
26.0,9.2,61.0,34.0,10.6,0.0,0.0
27.63380952,10.21690476,66.69047619,41.67452381,9.122857143,3.0,1.0
24.33333333,10.83333333,74.33333333,60.33333333,0.0,2.0,2.0
27.9,11.56666667,11.56666667,30.07666667,30.07666667,4.0,2.0
29.77972222,16.84361111,58.57666667,42.44480556,16.83194444,4.0,2.0
28.0,15.5,84.66666667,61.66666667,6.566666667000001,3.0,3.0
31.125,16.35,46.4,27.2975,36.0,4.0,3.0
30.675,15.625,37.4,24.48,32.55,5.0,3.0
27.875,15.8,41.9,28.6375,45.175,5.0,4.0
28.0,13.3,29.4,12.81,50.1,5.0,4.0
21.5,5.0,67.0,32.0,11.3,0.0,0.0
17.7,4.0,82.0,87.0,3.1,0.0,0.0
26.75305556,9.659861111,58.15277778,37.43680556,17.455,3.0,1.0
26.04166667,10.4625,75.95833333,54.04166667,0.325,3.0,2.0
27.875,15.325,79.5,55.0,0.95,3.0,2.0
30.84,16.62,47.92,31.526,20.5,4.0,2.0
29.0,16.3,85.4,56.0,56.0,4.0,3.0
30.74,16.98,54.32,34.238,29.0,4.0,3.0
29.94,15.9,49.12,32.384,26.04,5.0,3.0
27.3,15.44,51.52,33.91,36.94,5.0,4.0
28.0,13.3,29.4,12.81,50.1,5.0,4.0
16.0,7.5,84.0,49.0,3.5,0.0,0.0
26.0,12.0,62.0,61.0,8.1,0.0,0.0
24.2,6.833333333,52.46666667,35.03333333,23.86666667,3.0,1.0
27.35648148,20.54166667,73.78703704,48.10148148,2.333333333,3.0,1.0
28.0,14.74,77.4,53.2,2.8,3.0,2.0
24.5,15.75,85.5,77.5,3.7,3.0,2.0
29.3,15.3,83.4,52.2,3.94,4.0,2.0
31.44,18.06,80.4,53.8,3.4,4.0,3.0
17.75,17.75,80.25,56.25,5.6,5.0,4.0
27.83333333,15.36666667,55.43333333,37.09166667,30.78333333,5.0,4.0
27.8,13.34,41.72,21.648000000000003,40.08,5.0,4.0
16.0,7.0,94.0,56.0,2.2,0.0,0.0
13.5,10.0,88.0,83.0,0.5,0.0,0.0
25.97916667,8.714583333,60.85833333,38.58041667,15.375,3.0,1.0
26.85648148,20.74583333,69.51203704,49.86314815,4.425,3.0,2.0
27.44583333,15.08333333,75.44583333,49.65291667,5.2,3.0,2.0
27.33333333,16.16666667,82.0,66.33333333,6.166666667,3.0,2.0
29.20833333,15.35416667,83.66666667,53.125,4.104166667,4.0,2.0
31.14,17.26,80.4,80.4,2.26,4.0,3.0
30.08333333,18.0,84.2,58.0,8.78,4.0,3.0
29.25,14.25,82.0,54.75,6.175,5.0,4.0
27.8,13.34,41.72,21.648000000000003,40.08,5.0,4.0
9.0,7.0,86.0,94.0,0.0,0.0,0.0
21.5,8.0,93.0,62.0,6.7,0.0,0.0
27.91444444,10.11055556,69.96222222,44.88811111,6.3266666670000005,3.0,1.0
27.1875,9.81875,75.6875,48.0625,0.325,2.0,1.0
27.315625,13.04375,69.871875,43.1915625,8.4125,3.0,2.0
28.33541667,16.21458333,71.1,54.95604167,9.952083333,3.0,2.0
29.35,15.3,85.45,49.85,4.525,3.0,2.0
30.945,17.3625,77.09,50.42975,3.825,4.0,3.0
30.0125,17.89285714,78.225,54.35571429,10.77142857,5.0,3.0
